,공고 제목,기업 이름,도메인,기업 규모,사원수,설립 연도,요구 경력,요구 학력,스킬,고용 형태,급여,지역
0,데이터 엔지니어 (경력),나무기술㈜,응용소프트웨어개발및공급업,중소기업 (코스닥),140명,2016년(9년차),경력 (3년이상),학력무관,"AWS,Python,SQL,Streamlit,Snowflake",정규직,회사내규에따름,서울시강서구
1,[메이플그룹] 데이터 엔지니어 (DW),㈜넥슨,컴퓨터·하드웨어·장비,대기업 (비상장),"3,500명",1994년(31년차),경력무관,학력무관,명시되어있지않음,정규직,회사내규에따름,경기도성남시분당구
2,[인텔리전스랩스] 분석지원팀 데이터 엔지니어,㈜넥슨,컴퓨터·하드웨어·장비,대기업 (비상장),"3,500명",1994년(31년차),경력무관,학력무관,명시되어있지않음,정규직,회사내규에따름,경기도성남시분당구
3,[중고나라] 데이터 엔지니어 (1 - 3년),중고나라,쇼핑몰·오픈마켓·소셜커머스,벤처기업 (비상장),150명,2014년(11년차),경력 (1년이상),대졸이상,"API,AWS,ElasticStack,Python,RDBMS,Spark,SQL",정규직,회사내규에따름 -면접후결정,"서울시서초구 ,서울전지역"
4,"[서울 본사 및 부산, 원주] 데이터 엔지니어 / Data Architect 채용 공고",펜타시스템테크놀러지㈜,솔루션·SI·CRM·ERP,중소기업 (비상장),330명,1987년(38년차),경력 (2년이상),대졸이상,"JAVA,Python,Linux,ETL,Snowflake",정규직수습3개월   계약직근무기간협의 정규직전환가능,회사내규에따름 -면접후결정,서울시영등포구
5,[기술혁신사업부] 데이터 엔지니어,㈜오픈놀,응용소프트웨어개발및공급업,중소기업 (코스닥),137명,2012년(13년차),경력 (2년이상),학력무관,"AWS,Git,Javascript,React,GitHub",정규직수습1개월,회사내규에따름 -면접후결정,서울시마포구
6,데이터 엔지니어 채용(경력직),㈜디앤에스에버,응용소프트웨어개발및공급업,중소기업 (비상장),50명,2013년(12년차),경력 (3년이상),학력무관,"AWS,Git,PostgreSQL,Python,Tableau,Airflow,clickhouse,MWAA",정규직수습3개월,회사내규에따름 -면접후결정,서울시강남구
7,BI 개발 및 데이터 엔지니어 모집,㈜지음테크넷,컴퓨터시스템통합자문및구축서비스업,중소기업 (비상장),13명,2018년(7년차),경력 (7년이상),초대졸이상,"JAVA,Python,SQL",프리랜서,회사내규에따름 -면접후결정,서울시중구
8,[주식회사 헥토] 데이터 엔지니어 채용 Data Engineer (경력 3년 이상),㈜헥토,컨설팅·연구·조사,중견기업 (비상장),명시되어있지않음,2019년(6년차),경력 (3년이상),대졸이상,"JAVA,MongoDB,Pytorch,SpringBoot,CRM,Snowflake,bigquery",정규직,회사내규에따름 -면접후결정,서울시강남구
9,데이터엔지니어 채용,㈜써티웨어,시스템소프트웨어개발및공급업,중소기업 (비상장),110명,2009년(16년차),경력무관,초대졸이상,"SQL,DBMS,DW,ETL,OLAP",정규직수습기간협의,회사내규에따름 -면접후결정,서울시송파구
