fcltynm,mt10id,mt13cnt,fcltychartr,sidonm,gugunnm,opende
1M SPACE,FC002651,1,민간(대학로 외),서울,서대문구,2019
1m클래식아트홀,FC001419,1,민간(대학로 외),서울,종로구,2008
1유로 프로젝트 코끼리빌라,FC003974,1,기타(비공연장),서울,성동구, 
2001 아울렛키즈홀 [구로],FC001940,1,민간(대학로 외),서울,구로구,2008
20세기소년,FC002818,1,민간(대학로 외),서울,중구, 
242,FC002391,1,기타(비공연장),서울,용산구, 
30스튜디오 (폐관),FC001562,1,민간(대학로),서울,종로구,2016
369마실,FC002800,1,기타(비공연장),서울,성북구, 
4560designhaus (디자인하우스),FC002801,1,기타(비공연장),서울,서초구, 
57th gallery(57갤러리),FC002702,1,기타(비공연장),서울,종로구, 
63아트홀,FC000797,1,민간(대학로 외),서울,영등포구,2009
63컨벤션센터,FC001909,1,민간(대학로 외),서울,영등포구,2010
640아트타워,FC001547,1,민간(대학로 외),서울,강남구,2016
ADM갤러리,FC003217,1,기타(비공연장),서울,강남구, 
ALVER(알베르),FC002065,1,기타(비공연장),서울,강남구,2018
ASSA 아트홀,FC003959,1,민간(대학로 외),서울,강서구, 
BOYS24 HALL(구. 메사고릴라전용관) (폐관),FC000582,1,민간(대학로 외),서울,중구,2000
BRST STUDIO,FC003893,1,민간(대학로 외),서울,마포구, 
CGV [대학로],FC003672,8,기타(비공연장),서울,종로구, 
CGV [압구정],FC002756,1,기타(비공연장),서울,강남구,2006
CGV [영등포],FC002776,1,기타(비공연장),서울,영등포구, 
CGV [용산],FC003548,20,기타(비공연장),서울,용산구,2004
CGV신한카드아트홀,FC000343,1,민간(대학로 외),서울,영등포구,2009
CJ아지트 광흥창,FC000082,1,민간(대학로 외),서울,마포구,2009
CJ아지트 대학로 (구. SM아트홀),FC000098,1,민간(대학로),서울,종로구,2016
CLUB VICTIM,FC003903,1,민간(대학로 외),서울,마포구, 
CLUB bender(클럽 벤더),FC002090,1,민간(대학로 외),서울,마포구, 
CTS아트홀,FC001472,1,민간(대학로 외),서울,동작구,2005
Cafe PPnF,FC002066,1,기타(비공연장),서울,종로구,2018
Cafe vave(베이브),FC002347,1,기타(비공연장),서울,마포구, 
D:BASE (디:베이스),FC002014,1,민간(대학로),서울,종로구,2015
DDP 동대문디자인플라자,FC002666,1,기타(비공연장),서울,중구,2014
DGT 아트센터,FC003882,1,민간(대학로 외),서울,마포구, 
DS ART HALL(창선당),FC002003,1,민간(대학로 외),서울,종로구,2014
DSM 아트홀,FC003694,1,민간(대학로 외),서울,마포구, 
Ean Hall For Jazz (이안홀),FC003001,1,민간(대학로 외),서울,강남구, 
GBB스페이스홀 (구. 임혁필소극장),FC001405,1,민간(대학로 외),서울,마포구,2012
G스페이스홀 (지스페이스홀),FC002693,1,민간(대학로 외),서울,마포구,2020
H-스테이지,FC003003,1,민간(대학로 외),서울,마포구, 
HOLE SEOUL(홀 서울),FC003575,1,기타(비공연장),서울,강남구, 
IMCL MUSIC STUDIO,FC003198,1,민간(대학로 외),서울,강서구,2022
IPAC홀(인터내셔널퍼포밍아트센터),FC002750,1,민간(대학로 외),서울,서초구, 
JCC 아트센터,FC001575,4,민간(대학로),서울,종로구,2015
JCC크리에이티브센터,FC003368,1,민간(대학로 외),서울,종로구, 
JDB스퀘어,FC001885,1,민간(대학로 외),서울,마포구,2018
JH아트홀,FC001073,1,민간(대학로),서울,종로구,2012
