mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,genrenm,openrun,prfstate
PF244976,윤혜원 초청 피아노 독주회,2024.07.17,2024.07.17,세라믹팔레스홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF244976_240715_151311.gif,서양음악(클래식),N,공연예정
PF244776,"아르코꿈밭극장 개관 X 아시테지 국제여름축제 개막, 와그르르르 수궁가",2024.07.17,2024.07.17,아르코 꿈밭극장 (구.학전),http://www.kopis.or.kr/upload/pfmPoster/PF_PF244776_240711_130737.jpg,연극,N,공연예정
PF244756,강권순의 가곡: 천뢰,2024.07.17,2024.07.17,송해아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF244756_240711_111355.gif,한국음악(국악),N,공연예정
PF244607,"시간, 공간 그리고 인간",2024.07.17,2024.07.21,북촌창우극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF244607_240709_120223.jpg,연극,N,공연예정
PF244497,육각의 인간,2024.07.11,2024.07.21,씨어터 쿰,http://www.kopis.or.kr/upload/pfmPoster/PF_PF244497_240708_131605.png,연극,N,공연중
PF244405,스텝: 춤추는 발자국,2024.04.22,2024.12.31,명보아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF244405_240705_105539.png,뮤지컬,Y,공연중
PF244301,"제6회 불휘기픈소리, 정예주의 가야금: 초심으로부터",2024.07.17,2024.07.17,선릉아트홀(구. 아트홀 가얏고을),http://www.kopis.or.kr/upload/pfmPoster/PF_PF244301_240704_095600.jpg,한국음악(국악),N,공연예정
PF244291,"젊은 체홉의 대실패작, 숲귀신",2024.07.11,2024.07.28,안똔체홉극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF244291_240703_141020.gif,연극,N,공연중
PF244127,이쇼 with 연남장 캬바레,2024.07.15,2024.08.26,연남장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF244127_240702_093945.gif,뮤지컬,N,공연중
PF244113,남산 국악의 밤,2024.07.05,2024.08.23,남산골한옥마을,http://www.kopis.or.kr/upload/pfmPoster/PF_PF244113_240701_161654.jpg,한국음악(국악),N,공연중
