mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,prfcast,prfcrew,prfruntime,prfage,entrpsnm,pcseguidance,poster,sty,genrenm,openrun,prfstate,mt10id,dtguidance,styurls
PF244776,"아르코꿈밭극장 개관 X 아시테지 국제여름축제 개막, 와그르르르 수궁가",2024.07.17,2024.07.17,아르코 꿈밭극장 (구.학전) (블루소극장),"김소진, 조선아, 이향하, 박경은, 이준희, 권주하","장태순, 우수정, 송기조 등",50분,36개월 이상,움직이는 그림자 여행단,전석무료 ,http://www.kopis.or.kr/upload/pfmPoster/PF_PF244776_240711_130737.jpg, ,연극,N,공연예정,FC000744,수요일(15:00),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244776_240711_0107370.jpg']
PF244037,"제2회 스타아트 연극제 경연작, 래러미 프로젝트",2024.07.17,2024.07.18,씨어터조이 (구. 마당세실극장) (씨어터조이 (구. 마당세실극장)),"이선영, 김예지, 나종건, 서현우, 박은선, 엄태식, 석동민","이선영, 마정화, 박보승 등",1시간 40분,만 15세 이상,극단 인연(이년),"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244037_240701_104728.gif, ,연극,N,공연예정,FC000419,"수요일(15:00,19:00), 목요일(19:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244037_240701_1052561.jpg']
PF243857,"줄라이 페스티벌, 슈만이라는 바다: 백진주, 정지원, 정찬연 외",2024.07.17,2024.07.17,예술가의 집 (예술가의 집),"백진주, 정지원, 정찬연, 김준, 박해림, 지유경", ,2시간,전체 관람가, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243857_240627_091831.png,"[PROGRAM]

Robert Schumann (1810-1856)

Myrthen, Op.25 - 1. Widmung ('미르테의 꽃' 중 제1곡 '헌정
') *arr. by Clara Schumann
Impromptus on a Theme of Clara Wieck, Op.5 (클라라 비크의 주제에 의한 즉흥곡)
- 백진주(Piano)

Fantasie in C major, Op.17 (환상곡)
- 정지원(Piano)

Faschingsschwank aus Wien, Op.26 (빈 사육제의 어릿광대)
- 정찬연(Piano)

3 Romanzen, Op.28 (3개의 로망스)
- 김준(Piano)

Piano Sonata No.2 in G minor, Op.22
- 박해림(Piano)

Piano Sonata No.3 in F minor, Op.14
- 지유경(Piano)",서양음악(클래식),N,공연예정,FC002634,수요일(20:00),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243857_240627_0916480.png']
PF243492,"제11회 대한민국 신진연출가전 브릿지 페스타, 4막: 순수 오아시스",2024.07.17,2024.07.18,삼일로창고극장 (삼일로창고극장),"김령우, 김시연, 문슬기, 선희태, 설지환, 송혜원, 양하임 등","강준희, 전경렬, 박주혜 등",1시간 10분,만 11세 이상,극단 트렌디어,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243492_240621_110601.jpg, ,연극,N,공연예정,FC000248,수요일 ~ 목요일(19:30),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243492_240621_1106393.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243492_240621_1106010.jpg']"
PF243378,"제4회 소극장 공유 페스티벌 연극, 생각을 잇-다: 킬링 맥벌스",2024.07.11,2024.07.21,소극장 공유 (소극장 공유),"최라윤, 남도윤, 오혜민, 김현선, 김로완","이성진, 김현선, 김로완",1시간 20분,만 12세 이상,창작집단 결,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243378_240620_101601.gif, ,연극,N,공연중,FC001266,"화요일 ~ 금요일(20:00), 토요일 ~ 일요일(16:00)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243378_240620_1016013.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243378_240620_1016012.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243378_240620_1016011.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243378_240620_1016010.jpg']"
PF243366,"제6회 페미니즘 연극제, 건널목 교차로",2024.07.17,2024.07.21,나온씨어터 (나온씨어터),"김가림, 김세영, 나윤희, 이청","조승혜, 조제인, 한고은 등",1시간 40분,만 12세 이상,팀 티티새,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243366_240620_094349.gif, ,연극,N,공연예정,FC000180,"수요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(15:00)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243366_240620_0945522.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243366_240620_0945521.jpg']"
PF243177,"제8회 미스터리 스릴러전, 밈",2024.07.17,2024.07.21,소극장 혜화당(구. 까망소극장) (소극장 혜화당(구. 까망소극장)),"유재연, 조윤정, 황성연","손현규, 최소영, 정준규 등",1시간 20분,만 11세 이상, ,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243177_240617_161559.gif, ,연극,N,공연예정,FC001085,"수요일 ~ 금요일(19:30), 토요일(15:00,18:00), 일요일(15:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243177_240617_0415590.jpg']
PF242428,"제27회 크리틱스초이스댄스페스티벌, 정희은: 연지 & 권미정: 먹이",2024.07.17,2024.07.18,아르코예술극장 (대극장),"양지연, 노주호, 윤명인, 배소미, 이예림, 허준환, 권수연 등","정희은, 권미정",1시간 20분,만 7세 이상, ,"R석 50,000원, S석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242428_240607_103051.jpg,"[공연소개]



정희은

안무가인 어머니가 만든 작품을 보고 춤을 추는 환경에서 자라나 자연스럽게 무용의 길을 택했다. 한국예술종합학교 무용원 이론과를 졸업한 뒤 실기과 전문사 과정을 밟았다. 재학 중 교환학생으로 미국 칼아츠에 갔다가 공연 제의를 받고 현지에서 창작 활동을 시작했다. 귀국 후엔 아트프로젝트보라 단원을 거쳐 무용단 흰댄스(Heendance)를 만들어 독립했다. 멀티미디어 장르 융합 등 경계 허물기를 시도하고 있다. 장소특정형 공연으로 공간을 넘나들며 활동을 넓혀가는 중이다. 



작품명: 신작 <연지>



“인간에겐 기계처럼 정확해지길 원하고 기계엔 인간미를 요구하는 시대를 살고 있으니까, 사람만 가진 게 뭔지를 고민하게 됐어요. ‘사랑’이 생각나더군요. 사랑할 때 몸의 반응. 몸이 달아오르고 빨개지는 현상. ‘블러쉬(Blush)’라는 주제가 궁금해지면서 붉은색 ‘연지’를 같이 떠올렸어요. 인위적인 방법을 쓰기보단 무용수의 진짜 몸의 반응으로 사랑의 현상을 끄집어내려는 작업이에요. 인간만이 가지는 부끄러움 때문일 수도 있고, 정말 사랑하기 때문에 심장이 떨리는 현상 자체를 어떻게 하면 무대 위에 올릴 수 있을까 고민 중입니다.”



안무가의 글

시장 원리랑 맞지 않는 ‘사랑’에 대한 이야기다. 인간을 기계처럼, 기계는 인간처럼 만들어내는 것을 추구하는 사회. 자본주의 계산으로 정확히 환산될 수 없는. 상품 교환의 사회적 질서에서 벗어난. 통제 불가하고 너무나도 사적인. 자본주의 범주 밖에 있고자 하는 ‘낭만적 사랑’을 주제로 삼는다. 신체를 주재료로 심장이 벌렁거리고, 숨이 차고, 볼이 빨개지는 현상. 통제 불가한 가장 본능적인 신체의 반응과 움직임을 구상하기 시작한다. 사회 구조 안에서 억압받는 몸과 정신의 장치를 풀고 쾌락의 자유를 탐색하고 해방하는 시간을 찾는다.




권미정

국립전통예술고등학교 입학을 위해 대구에서 상경했다. 경희대에 진학해 ‘김백봉부채춤’ 보유자인 안병주 교수에게 사사했지만 신무용보다 ‘창작’에 관심을 둔 별난 제자가 되어 안무 활동을 이어왔다. 대한무용협회 주최 젊은안무자창작공연에서 ‘최우수안무자상’을 받은 ‘고비’(2021)를 비롯해 ‘잿푸라기’(2022), ‘고아’(2023) 등 안무작을 발표해왔다. 학업도 지속했다. 동대학원 무용학과에서 ‘안무자의 기본 소양교육을 위한 구성요소 탐색’으로 석사학위를 받고, 최근 박사과정을 수료했다.



작품명: 신작 <먹이>



“생명이 지닌 아름다움. 그 능력치를 조명하는 몸의 미학을 표현하고 싶어요. 어느 책에서 그러더군요. ‘진정한 진실은 내 육체가 피의 박동을 느낀다는 것이다.’ 신체 기관, 혈관 같은 생명 유지에 관심을 갖다 보니 ‘먹이’란 제목이 떠올랐어요. 다른 생명을 양분으로 취하고 유지된 생명이 또 다른 생명의 양분이 된다는 순리. 먹고 먹히는 유한한 생을 담아보려 합니다.”



안무가의 글

먹고 먹히고. 

생명 유지를 위해 다른 생명을 양분으로 취한다. 

그리고 저 또한 누군가의 양분으로 흡수되어 자연의 거름이 된다,



그러니, 사는 동안 태양을 만끽하자. 끝내 부둥켜안고, 서로의 향취를 맡으며, 자연의 품에서 양분이 되어가자.",무용,N,공연예정,FC002632,수요일 ~ 목요일(20:00),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242428_240607_1032173.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242428_240607_1030510.jpg']"
PF242164,ARTISTLIVE FESTIVAL IN SEOUL,2024.07.13,2024.08.17,서울숲 스튜디오301 (서울숲 스튜디오301),"김기경, 그리고리 바라노프, 케이 오히시, 알렉산더 쉐이킨, 신보경, 김대준",김기경,1시간 15분,만 8세 이상, ,"전석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242164_240603_100057.jpg, ,서양음악(클래식),N,공연중,FC002950,토요일(19:00),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242164_240603_1000570.png']
PF242149,"예술의 전당 어린이 가족 페스티벌, 네모의 세상",2024.07.12,2024.07.21,예술의전당 [서울] (자유소극장),대릴 앤 코, ,50분,36개월 이상, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242149_240531_135915.gif, ,뮤지컬,N,공연중,FC000001,"화요일 ~ 목요일(11:00,15:00), 금요일(16:00,19:00), 토요일 ~ 일요일(11:00,15:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242149_240531_0159150.jpg']
