mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,genrenm,prfstate,festival
PF244776,"아르코꿈밭극장 개관 X 아시테지 국제여름축제 개막, 와그르르르 수궁가",2024.07.17,2024.07.17,아르코 꿈밭극장 (구.학전),http://www.kopis.or.kr/upload/pfmPoster/PF_PF244776_240711_130737.jpg,연극,공연예정,Y
PF244037,"제2회 스타아트 연극제 경연작, 래러미 프로젝트",2024.07.17,2024.07.18,씨어터조이 (구. 마당세실극장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF244037_240701_104728.gif,연극,공연예정,Y
PF243857,"줄라이 페스티벌, 슈만이라는 바다: 백진주, 정지원, 정찬연 외",2024.07.17,2024.07.17,예술가의 집,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243857_240627_091831.png,서양음악(클래식),공연예정,Y
PF243492,"제11회 대한민국 신진연출가전 브릿지 페스타, 4막: 순수 오아시스",2024.07.17,2024.07.18,삼일로창고극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243492_240621_110601.jpg,연극,공연예정,Y
PF243378,"제4회 소극장 공유 페스티벌 연극, 생각을 잇-다: 킬링 맥벌스",2024.07.11,2024.07.21,소극장 공유,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243378_240620_101601.gif,연극,공연중,Y
PF243366,"제6회 페미니즘 연극제, 건널목 교차로",2024.07.17,2024.07.21,나온씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243366_240620_094349.gif,연극,공연예정,Y
PF243177,"제8회 미스터리 스릴러전, 밈",2024.07.17,2024.07.21,소극장 혜화당(구. 까망소극장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF243177_240617_161559.gif,연극,공연예정,Y
PF242428,"제27회 크리틱스초이스댄스페스티벌, 정희은: 연지 & 권미정: 먹이",2024.07.17,2024.07.18,아르코예술극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242428_240607_103051.jpg,무용,공연예정,Y
PF242164,ARTISTLIVE FESTIVAL IN SEOUL,2024.07.13,2024.08.17,서울숲 스튜디오301,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242164_240603_100057.jpg,서양음악(클래식),공연중,Y
PF242149,"예술의 전당 어린이 가족 페스티벌, 네모의 세상",2024.07.12,2024.07.21,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF242149_240531_135915.gif,뮤지컬,공연중,Y
PF241963,"여우락 페스티벌, 윤은화: 페이브 (PAVE)",2024.07.17,2024.07.17,국립극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241963_240529_151050.png,한국음악(국악),공연예정,Y
