mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,prfcast,prfcrew,prfruntime,prfage,entrpsnm,pcseguidance,poster,sty,genrenm,openrun,prfstate,mt10id,dtguidance,styurls
PF244976,윤혜원 초청 피아노 독주회,2024.07.17,2024.07.17,세라믹팔레스홀 (세라믹팔레스홀),윤혜원, ,1시간 50분,만 7세 이상, ,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244976_240715_151311.gif,"[프로그램]
L. v. Beethoven
Rondo A Capriccio, Op.129 in G Major
“Rage Over a Lost Penny”
잃어버린 동전에 대한 분노

 

P. I. Tchaikovsky
“Meditation”, Op.72 No.5
묵상

 

F. Schubert
Wanderer Fantasy in C Major, D.760
방랑자 환상곡

 

INTERMISSION

 

F. Chopin
Prelude No.15 in D-Flat Major, Op.28
“Raindrop”
빗방울 전주곡
With a sketch of the ""빗방울 전주곡"" created by a generative AI

 

C. Debussy
L'Isle joyeuse, L.106
기쁨의 섬
With a sketch of the ""기쁨의 섬"" created by a generative AI

 

F. Liszt
Rhapsodie Espagnole S.254, R.90
스페인 랩소디",서양음악(클래식),N,공연예정,FC000047,수요일(20:00),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244976_240715_0313111.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244976_240715_0313110.jpg']"
PF244776,"아르코꿈밭극장 개관 X 아시테지 국제여름축제 개막, 와그르르르 수궁가",2024.07.17,2024.07.17,아르코 꿈밭극장 (구.학전) (블루소극장),"김소진, 조선아, 이향하, 박경은, 이준희, 권주하","장태순, 우수정, 송기조 등",50분,36개월 이상,움직이는 그림자 여행단,전석무료 ,http://www.kopis.or.kr/upload/pfmPoster/PF_PF244776_240711_130737.jpg, ,연극,N,공연예정,FC000744,수요일(15:00),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244776_240711_0107370.jpg']
PF244756,강권순의 가곡: 천뢰,2024.07.17,2024.07.17,송해아트홀 (공연장(B1)),"강권순, 이지영, 유영주, 김상준, 박영기, 윤묵숙, 김웅식","이선미, 이승호, 김균 등",1시간 30분,만 8세 이상, ,"R석 50,000원, S석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244756_240711_111355.gif, ,한국음악(국악),N,공연예정,FC003855,수요일(19:30),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244756_240711_1113560.jpg']
PF244607,"시간, 공간 그리고 인간",2024.07.17,2024.07.21,북촌창우극장 (북촌창우극장),"조정아, 전하연, 김태현, 정준환, 김도이", ,1시간 50분,전체 관람가,극단 소풍전날,"전석 25,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244607_240709_120223.jpg,"[공연소개]
점과 점이 만나 선이 되고,

선과 선이 만나 면이 되고,

면과 면이 만나 공간이 되고,

우리는 그 공간 안에 살아가고,

같은 시간, 같은 공간에 함께 살아가는 나, 너 그리고 우리.

우리의 삶은 무엇으로 채워야 할까?",연극,N,공연예정,FC001066,"수요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,18:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244607_240709_1202230.jpg']
PF244497,육각의 인간,2024.07.11,2024.07.21,씨어터 쿰 (씨어터 쿰),"최영도, 장하란, 문하나, 오문강, 강승우, 박석원, 이서한 등","김만재, 이지은, 한상헌 등",1시간 20분,만 13세 이상,아트팩토리 인플란트,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244497_240708_131605.png, ,연극,N,공연중,FC002588,"화요일 ~ 금요일(20:00), 토요일(15:00,18:00), 일요일(16:00)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244497_240708_0116051.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244497_240708_0116050.png']"
PF244405,스텝: 춤추는 발자국,2024.04.22,2024.12.31,명보아트홀 (다온홀(B1F)),"이은혜, 정윤아, 양석진, 김동환, 정희엽 등", ,1시간 10분,전체 관람가, ,"R석 36,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244405_240705_105539.png, ,뮤지컬,Y,공연중,FC000883,"화요일(11:00), 금요일(10:30)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244405_240705_1055393.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244405_240705_1055392.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244405_240705_1055391.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244405_240705_1055390.jpg']"
PF244301,"제6회 불휘기픈소리, 정예주의 가야금: 초심으로부터",2024.07.17,2024.07.17,선릉아트홀(구. 아트홀 가얏고을) (선릉아트홀(구. 아트홀 가얏고을)),"정예주, 김인수", ,1시간,전체 관람가, ,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244301_240704_095600.jpg,"[프로그램]

1. 김병호류 가야금산조
2. 서공철류 가야금산조",한국음악(국악),N,공연예정,FC002517,수요일(19:30),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244301_240704_0956000.jpg']
PF244291,"젊은 체홉의 대실패작, 숲귀신",2024.07.11,2024.07.28,안똔체홉극장 (안똔체홉극장),"김진근, 염인섭, 조환, 이음, 김미리내, 김원경, 김인수 등", ,2시간 30분,만 15세 이상, ,"VIP석 (평일 정상가) 23,000원, VIP석 (주말 정상가) 28,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244291_240703_141020.gif, ,연극,N,공연중,FC001137,"목요일 ~ 금요일(19:00), 토요일 ~ 일요일(15:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244291_240703_0210200.jpg']
PF244127,이쇼 with 연남장 캬바레,2024.07.15,2024.08.26,연남장 (연남장), , ,2시간 30분,만 14세 이상, ,"전석 44,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244127_240702_093945.gif, ,뮤지컬,N,공연중,FC002037,월요일(20:00),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244127_240702_0939450.jpg']
PF244113,남산 국악의 밤,2024.07.05,2024.08.23,남산골한옥마을 (서울남산국악당 야외마당),"김민지, 김다빈, 하수연, 황혜영, 김은비, 유수진, 김범식 등", ,40분,전체 관람가, ,전석무료 ,http://www.kopis.or.kr/upload/pfmPoster/PF_PF244113_240701_161654.jpg, ,한국음악(국악),N,공연중,FC000568,"금요일(20:00,21:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244113_240701_0416540.jpg']
PF244037,"제2회 스타아트 연극제 경연작, 래러미 프로젝트",2024.07.17,2024.07.18,씨어터조이 (구. 마당세실극장) (씨어터조이 (구. 마당세실극장)),"이선영, 김예지, 나종건, 서현우, 박은선, 엄태식, 석동민","이선영, 마정화, 박보승 등",1시간 40분,만 15세 이상,극단 인연(이년),"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244037_240701_104728.gif, ,연극,N,공연예정,FC000419,"수요일(15:00,19:00), 목요일(19:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244037_240701_1052561.jpg']
