addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
"9, Apgujeong-ro 10-gil, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2957770,79,20230117181642,http://tong.visitkorea.or.kr/cms/resource/44/2890144_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/2890144_image3_1.jpg,Type3,127.0220460635,37.5230378596,6,20240418154747,1,,10 Corso Como Outlets [Tax Refund Shop] (10꼬르소꼬모 아울렛),06028
"416, Apgujeong-ro, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2954573,79,20230125200415,,,,127.0424190965,37.5269822119,6,20240418162703,1,,10 Corso Como [Tax Refund Shop] (10꼬르소꼬모),06015
"231, Siheung-daero, Geumcheon-gu, Seoul",,1,A04,A0401,A04011000,3325155,79,20240625110522,,,,126.9002979740,37.4543408802,6,20240627015357,8,,1001 Optics [Tax Refund Shop] (1001안경콘택트),08632
"121, Gyedong-gil, Jongno-gu, Seoul",,1,B02,B0201,B02011600,2988855,80,20230320212557,,,,126.9867475868,37.5827858390,6,20240626122838,23,+82-507-1358-3701,121 Bukchon [Korea Quality] / 121북촌 [한국관광 품질인증],03056
"68 , Achasan-ro 33-gil, Gwangjin-gu, Seoul",,1,A05,A0502,A05020900,2999202,82,20230821152811,http://tong.visitkorea.or.kr/cms/resource/79/2997879_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2997879_image3_1.jpg,Type3,127.0712854532,37.5432030693,6,20230822110610,6,,12minutes (트웰브미닛),05011
"38, Donggyo-ro 29-gil, Mapo-gu, Seoul",,1,A05,A0502,A05020900,2480979,82,20170214235634,http://tong.visitkorea.or.kr/cms/resource/87/2479687_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2479687_image3_1.jpg,Type3,126.9230428662,37.5621620943,,20190126001640,13,,17℃ (17도씨),03984
"275, Jangchungdan-ro, Jung-gu, Seoul",,1,A04,A0401,A04011000,3323759,79,20240625080944,http://tong.visitkorea.or.kr/cms/resource/01/3313501_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/3313501_image3_1.jpg,Type3,127.0088293006,37.5689100708,6,20240627022132,24,,189 shop [Tax Refund Shop] (189#(189샵)),04563
"5, Seolleung-ro 162-gil, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2953947,79,20230112151640,http://tong.visitkorea.or.kr/cms/resource/90/2887990_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2887990_image3_1.jpg,Type3,127.0411497610,37.5272182729,6,20240423141139,1,,1LDK Seoul - Cheongdam Branch [Tax Refund Shop] (1LDK SEOUL 청담),06014
"31, Daehak-ro 12-gil, Jongno-gu, Seoul",,1,A02,A0206,A02060600,1240735,78,20110324192837,http://tong.visitkorea.or.kr/cms/resource/99/1837899_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/1837899_image3_1.jpg,Type3,127.0035904971,37.5827472573,6,20190318195737,23,+82-2-766-7623,1m Classic Art Hall (1m 아트홀),03086
"101, Teheran-ro, Gangnam-gu, Seoul",강남역지하,1,A04,A0401,A04011000,3325058,79,20240625104332,,,,127.0280573169,37.4986630200,6,20240626210940,1,,23 Avenue - Gangnam Station Underground Shopping Center Branch [Tax Refund Shop] (23에비뉴 강남역지하쇼핑센터),06134
